estacion_id,Ta_mean_day,Ta_p90_day,Humidex_mean_day,,,estaci—n_id,Ta_mean_day (¡C),Humidex_mean_day,RH_mean_day (%)
AJM,19.177364093193212,22.6,19.557186541878952,,,AJM,19.18,19.56,48.1
AJU,15.521397012413217,18.8,16.46600010421382,,,AJU,15.52,16.47,66.3
CUA,18.015150989239793,21.7,18.586660223192602,,,CUA,18.02,18.59,53.4
GAM,22.32681575707842,25.7,24.14714894910952,,,GAM,22.33,24.15,49.2
HGM,21.555063291139273,24.9,21.923891251304752,,,HGM,21.56,21.92,41.4
LAA,21.91789034338837,26.1,23.02073439846248,,,LAA,21.92,23.02,45.5
MER,22.095340690138396,25.7,23.16330155479196,,,MER,22.1,23.16,44.8
MGH,21.784516680923883,25.3,22.200696947844946,,,MGH,21.78,22.2,41.2
MPA,18.437650897226753,22.4,19.29199890337844,,,MPA,18.44,19.29,54.4
PED,21.01299818840579,24.7,21.729549580415735,,,PED,21.01,21.73,45.3
SAC,22.07528328611899,27.49000000000001,21.90774533330589,,,SAC,22.08,21.91,36.5
SFE,18.743211433375368,21.8,19.814033564898022,,,SFE,18.74,19.81,55.1
SUR,21.285645161290343,25.1,22.658188956318096,,,SUR,21.29,22.66,49.3
TAH,21.47046227056419,25.2,22.49192876101132,,,TAH,21.47,22.49,46.2
TPN,20.24179104477613,24.8,21.317242478531362,,,TPN,20.24,21.32,50.3
UAX,21.222516826432773,24.8,22.082093503571166,,,UAX,21.22,22.08,45.8
UIZ,22.12422009334318,25.9,23.38259654910369,,,UIZ,22.12,23.38,46
