Variable,VIF
pct_serv_med,43.76851232747059
pct_ocup,31.19236705401785
pct_no_serv_med,16.314305399363967
pct_inac,15.232552887864063
pct_more_edu,13.641238994577106
pct_elementary2_edu,5.007489099912438
pct_elementary_edu,2.5555719312198573
pct_pop_sin_auto,2.4181680974565625
pct_15a64,2.25283724221766
pct_65plus,2.031867055518744
rel_dependencia_0_14,2.0234592437674808
rel_h_m,2.0159355005781205
pct_6a14,2.0158400077819456
pct_without_disc,1.6804129624265727
pct_with_disc,1.4593046594306898
pct_0a5,1.4297388495802363
pct_pop_auto,1.3085228068643369
pct_no_school,1.2999437368771836
pct_desocup,1.2025127210711606
pct_ethnic_ind,1.128093379961224
pct_ethnic_other,1.1201237329441232
pct_ethnic_afro,1.0097707717145787
